,hotel,price,period,owner,city,rate
0,CHARMING HOUSE Seaside& Pine Forest,‎$155‎,‎‎  ليلة,مضيف متميز,Labenne,4.89
1,Waterfront with extraordinary view,‎$55‎,‎‎  ليلة,مضيف متميز,Kotor,4.80
2,"平江路大儒巷民国建筑,体验苏州老宅@元元的家 《都挺好》取景地",‎$35‎,‎‎  ليلة,مضيف متميز,سوتشو,4.80
3,A BEAUTIFUL LUXURY VILLA IN NORTH ICELAND,‎$194‎,‎‎  ليلة,مضيف متميز,أكوريري,4.76
4,Beautiful flat in Milano center !!!,‎$70‎,‎‎  ليلة,مضيف متميز,Zona 3 · ميلان,4.93
5,BALIAN TREEHOUSE w beautiful pool,‎$83‎,‎‎  ليلة,مضيف متميز,"بالي · Balian Beach, Bali",4.84
6,Dreamy Tropical Tree House,‎$250‎,‎‎  ليلة,مضيف متميز,جزيرة هاواي · Fern Forest,4.85
7,Pettinarihome Campo de FIORI,‎$100‎,‎‎  ليلة,مضيف متميز,ريجولا · روما,4.84
8,Perfectly located Castro,‎$79‎,‎‎  ليلة,مضيف متميز,ذي كاسترو · سان فرانسيسكو,4.92
9,Off-grid itHouse,‎$450‎,‎‎  ليلة,,Pioneertown,4.93
10,*YURT*Goats*MTNS*3rd NITE 25% OFF*WINTER SPECIAL *,‎$175‎,‎‎  ليلة,مضيف متميز,ستاناردزفيللي,4.95
11,Sunny apartment near metro station.,‎$32‎,‎‎  ليلة,مضيف متميز,Heitzing · فيينا,4.90
12,La Rosa de Ortega / Standard Room,‎$70‎,‎‎  ليلة,مضيف متميز,La Habana,4.93
13,PORTA33 I PORTO PENTHOUSE Duplex at Rua das Flores,‎$96‎,‎‎  ليلة,,بورتو,4.67
14,In the historical center of Lecce,‎$78‎,‎‎  ليلة,,ليتشي,4.89
15,Hector Cave House,‎$437‎,‎‎  ليلة,مضيف متميز,سانتوريني,4.95
16,SUNSET CAVE HOUSE IN OIA,‎$282‎,‎‎  ليلة,مضيف متميز,أويا,4.92
17,Beautiful flat in Milano center !!!,‎$70‎,‎‎  ليلة,مضيف متميز,Zona 3 · ميلان,4.93
18,Design loft @Navigli - Porta Ticinese - Bocconi,‎$89‎,‎‎  ليلة,مضيف متميز,Zona 5 · ميلان,4.86
19,Vecchia Milano in zona Centrale,‎$89‎,‎‎  ليلة,مضيف متميز,Centro Direzionale · ميلان,4.90
20,Style and silence in the midtown,‎$86‎,‎‎  ليلة,مضيف متميز,Centro Direzionale · ميلان,4.85
21,Confortevole bilo arco della pace,‎$94‎,‎‎  ليلة,مضيف متميز,المركز التاريخي · ميلان,4.78
22,MR1313,‎$72‎,‎‎  ليلة,مضيف متميز,Centro Direzionale · ميلان,4.90
23,"Nice flat, piano and yoga classes!",‎$66‎,‎‎  ليلة,مضيف متميز,Porta Vittoria · ميلان,4.91
24,Stunning view in the heart of Milan,‎$92‎,‎‎  ليلة,,المركز التاريخي · ميلان,4.65
25,Stay where the heart of Milan beat,‎$100‎,‎‎  ليلة,مضيف متميز,Zona 3 · ميلان,4.95
26,Pettinarihome Campo de FIORI,‎$100‎,‎‎  ليلة,مضيف متميز,ريجولا · روما,4.84
27,The house among olive trees,‎$155‎,‎‎  ليلة,مضيف متميز,Bellegra,4.95
28,Colosseum Loft,‎$75‎,‎‎  ليلة,مضيف متميز,روما سنترو · روما,4.81
29,"Colosseum Dream Casa, Rome city center.",‎$66‎,‎‎  ليلة,مضيف متميز,مونتي · روما,4.78
30,Pettinarihome 2 Campo dei Fiori,‎$100‎,‎‎  ليلة,مضيف متميز,روما سنترو · روما,4.90
31,"Elegant apartment, central & cheap",‎$50‎,‎‎  ليلة,,سان جيوفاني · روما,4.70
32,Colosseo Loft Flavia,‎$72‎,‎‎  ليلة,مضيف متميز,مونتي · روما,4.75
33,Decoboco hanare,‎SR345‎,‎‎  ليلة,مضيف متميز,Koto-ku,4.94
34,"Independent cottage, mountain view",‎SR311‎,‎‎  ليلة,,Lloseta,4.84
35,The Lake Tahoe Chalet,‎SR420‎,‎‎  ليلة,مضيف متميز,ساوث ليك تاهو,4.80
36,Double Room in El vaixell de paper,‎SR199‎,‎‎  ليلة,مضيف متميز,"ثيوتات فيا ""المدينة القديمة"" · برشلونة",4.78
37,Cabin #3 - Alfie the A-Frame,‎SR338‎,‎‎  ليلة,مضيف متميز,سيتشيلت,4.90
38,Unique Architecture Cave House,‎SR563‎,‎‎  ليلة,مضيف متميز,أويا,4.93
39,Tile House,‎SR664‎,‎‎  ليلة,مضيف متميز,تونتينين بالمز,4.96
40,Casa do Rio - Beach and Mountains,‎SR270‎,‎‎  ليلة,مضيف متميز,Viana do Castelo,4.92
41,#2 SHANGHIGH HOME,‎SR210‎,‎‎  ليلة,مضيف متميز,Puxi · شنغهاي,4.87
42,Romantic 1 bed with stunning views,‎SR371‎,‎‎  ليلة,مضيف متميز,فورنالوتكس,4.93
43,Holiday in Toscany in the Strettoio,‎SR349‎,‎‎  ليلة,مضيف متميز,Rignano sull'Arno,4.87
44,Minsk Belarus Studio in historical center,‎SR131‎,‎‎  ليلة,مضيف متميز,مينسك,4.79
45,I SETTE CONI - TRULLO EDERA ,‎SR270‎,‎‎  ليلة,مضيف متميز,أوستوني,4.93
46,"Sanson Terrace ""off-grid tiny cottage""",‎SR364‎,‎‎  ليلة,مضيف متميز,"Sakuho, Minamisaku District",4.94
47,Superb duplex apartment in the historical centre,‎SR465‎,‎‎  ليلة,مضيف متميز,Hôtel de Ville - Quinconces · بوردو,4.91
48,A Pirates Life For Me: Houseboat Downtown w/ Bikes,‎SR656‎,‎‎  ليلة,,تشارلستون,4.74
